iter	RMSE
141	16.5142	16.5142	16.143	16.59143	16.5516541
144	16.5506843
145	16.5499826
146	16.54923454
147	16.54818529
148	16.548149	1149	16.5475150	1150	16.54681877
151	16.54645129
152	16.54566802
153	16.54478392
154	16.54415418
155	16.54405376
156	16.54351422
157	16.54327201
158	16.54253445
159	16.54205172
160	16.54149366
161	16.54097884
162	16.5404973
163	16.53991158
164	16.53945557
165	16.53884688
166	16.53838614
167	16.5378878
168	16.53745092
169	16.53653715
170	16.53614171	171	16.53574172	172	16.53534173	173	16.53488174	174	16.53425175	175	16.53400176176	16.533422177177	16.533137178178	16.532678179179	16.532501180180	16.532000181181	16.5315182	1182	16.5310183	16.57637367
184	16.57588874
185	16.57553808
186	16.57514266
187	16.57470964
188	16.5742937
189	16.57403052
190	16.57364172
191	16.57330314
192	16.57296693
193	16.57268506
194	16.57245282
195	16.57220139
196	16.571975
197	16.57172944
198	16.57148634
199	16.5712453
200	16.57099181
201	16.57066679
202	16.57039927
203	16.57023455
204	16.56996313
205	16.56976718
206	16.56956281
207	16.569393672208	16.569263542209	16.569119552210	16.568941912211	16.568775122212	16.568619362213	16.568380852214	16.568172142215	16.567934552216	16.567706522217	16.567556742218	16.56739063219	16.58683881
2220	16.566980982221	16.56681562222	16.586383422223	16.586245832224	16.5224	16.5225	16.5225	16.226	16.58226	16.227	16.58227	16.228	16.58228	16.229	16.58229	16.230	16.58230	16.231	16.58231	16.232	16.58232	162233	16.58233	162234	16.58234	162235	16.58235	162236	16.58236	162237	16.58237	162238	16.58238	162239	16.58239	16.240	16.58240	16.241	16.58241	16.242242	16.582924243	16.583622424244	16.583561824245245	16.582568246246	16.582435247247	16.582355248248	16.58227249	249	16.58215250	250250	16.51251	251251	16.51252	16.252	16.51253	16.253	16.51254	16.254	16.51255	16.255	16.51256	16.256	16.51257	16.257	16.51258	16.258	16.51259	16.259	16.51260	16.260	16.51261	16.261	16.51262	16.262	16.51263	16.5820188
264	16.264	16.51265	16265	16.517266	16266	16.516267	1267	16.5168268	1268	16.5167269	16.58171599
270	1270	16.5166271	1271	16.5166272	16.58154807
273	1273	16.5165274	1274	16.5164275	1275	16.5162276	1276	16.5162277	277	16.51632278	278	16.5162279	1279	16.5162280	1280	16.5161281	1281	16.5161282	1282	16.51283	16.283	16.51284	16284	16.516285	16285	16.51286	16286	16.51287	16.287	16.51288	16.288	16.51289	16.289	16.51290	16.290	16.51291	16.291	16.51292	16.292	16.51293	16.293	16.51294	16.294	16.51295	16.295	16.51296	16296	16.51297	16.297	16.51298	16.298	16.51299	16.299	16.51300	16.300	16.51301	16.301	16.51302	1302	16.5153303	1303	16.5153304	1304	16.5153305	1305	16.51528676
306	16.5307	16.5307	16.5308	16.5308	16.309	16.58309	16.310	16.58310	16.5151641
311	16.51512792
312	16.515113553313	16.515084193314	16.515060823315	16.515044953316	16.515017583317	16.51499204
318	16.51496867
319	16.514952563320	16.514937373321	16.5149231
322	16.51490853
323	16.51488128
324	16.51486584
325	16.51484764
326	16.51482987
327	16.51480445
328	16.5147857
329	16.51476817
330	16.51475068
331	16.5147379
332	16.51472626
333	16.51471548
334	16.51470032
335	16.51468832
336	16.51467749
337	16.51466271
338	16.51464713
339	16.51462999
340	16.51461319
341	16.51460154
342343	16.605581343	16.51457463
344	16.51455256
345	16.51453996
346	16.514533
347	16.51452377
348	16.51451549
349	16.51450335
350	16.5144897
351	16.51352	16.352	16.51446476
353	16.51354	16.354	16.51355	16.355	16.51356	16.356	16.51357	16.357	16.51358	16.358	16.5359	16.5359	16.5360	16.5360	16.5361	16.5361	16.5362	16.5362	16.5143772
363	16.51364	16364	16.514365	16365	16.51366	16.366	16.51367	16.367	16.5368	16.368	16.5369	16.369	16.51370	16.370	16.5371	16.5371	16.5372	16.5372	16.5373	16.373	16.51374	16374	16.375	16.57375	16.376	16.57376	16.377	16.57377	16.378	16.5378	16.5379	16.5379	16.380	16.57380	16.51424579
381	16.51424047
382	16.51423628
383	16.51423086
384	16.51422602
385	16.51421805
386	16.5142117
387	388	16.57920388	389	16.57920389	16.51419328
390	391	16.57919391	392	16.57918392	393	16.57918393	394	16.57918394395	16.579174395396	16.579167396397	16.579161397398	16.579155398399	16.57915156
400	16.57914629
401	16.57914132
402	16.57913719
403	16.57913237
404	16.57912827
405	16.57912527
406	16.5791208
407	16.57911701
408	16.57911233
409	16.57910871
410	16.57910415
411	16.57909913
412	16.57909426
413	16.57909103
414	16.57908414415	16.57908301
416	16.57907998
417	16.57907554
418	16.57907198
419	16.57906925
420	16.57906516
421	16.57906185
422	16.57905964
423	16.57905516
424	16.579052424425	16.579049425426	16.57904707
427	16.579045427428	16.579042428429	16.579040429430	16.579036430431	16.5790341
432	16.57903235
433	16.57902867
434	16.579026143435	16.579020843436	16.579019543437	16.57901734438	16.579015543439	16.579013643440	16.579011444441	16.579009144442	16.579007744443	16.579003144444	16.579001144445	16.578997944446	16.57899586
447	16.578994344448	16.578992444449	16.578990544450	16.57898944451	16.578988174452	16.578985664453	16.578983664454	16.57898079454	16.51395818
455	16.51395693
4457	16.57897489457	1457	16.5594458	1458	16458	1459	16.5139459	14461	460	16460	1461	16.5139461	1462	16.5139462	1463	1463	16463	14465	464	16464	14466	465	16465	1466	1466	16466	1467	1467	16467	1468	1468	16468	1470	16.5789469	1471	16.5789470	1472	1471	16471	1473	1472	16472	1473	16.5139473	1474	16.51392154
475	475	16.475	1476	476	16.476	1477	16.5139477	1478	16.5139478	1479	479	16.479	1480	480	16.480	1481	481	16.481	1482	482	16.55937483	483	16.55937484	16.51390596
485	16.5139043
486	16.5139037
487	16.51390235
488	16.51390116
489	16.51389489	490	16.51389891
491	16.51389805
492	16.51389697
493	16.51389603
494	16.51389483
495	16.51389495	496	16.51389496	497497	16.55497	498498	16.55498	499499	16.559355500500	16.5500	150501	16.559353450502	16.559352650503	16.559351350504	16.559350550505	16.505	16.50506	16.559348850507	16.507	16.50508	16.55934725509	16.5509	16.5510	16.5510	1651511	16.5511	1651512	16.5512	1651513	16.559343514514	16.559342515515	16.559341516516	16.5593517	1517	16.559351518	16.55933918
519	16.559338452520	16.55933783
521	16.55933729
522	16.559336652523	16.559336152524	16.559335652525	16.559335152526	16.55933415527	16.559333365528	16.559332552529	16.559331453530	16.559331053531	16.55933075532	16.55932991
533	16.55932939
534	16.55932772
535	16.55932748
536	16.55932669
537	16.55932589
538	16.55932533
539	16.55932472
540	16.55932381
541	16.55932309
542	16.55932241
543	16.55932183
544	16.55932153
545	16.5593211
546	16.55932043
547	16.55931547	548	16.55931962
549	16.55931866
550	16.55931811
551	16552	16.604552	16553	16.604553	1554	16.604554	16555	16.6048482
556	16.60484786
557	16.60484764
558	16.60484698
559	16.60484678
560	16.6048464
561	16.60484615
562	16.6048458
563	16.60484559
564	16.60484527
565	16.604844565566	16.604844566567	16.604843567	16.55930899
568	16.55930875
569	16.55930851
570	16.5593081
571	16.55930782
572	16.55930743
573	16.5593073
574	16.55930673
575	16.55930634
576	16.55930608
577	16.55930588
578	16.55930533
579	1580	16.6048580	1581	16.6048581	1582	16.6048582	1583	16.60483713
584	16.60483706
585	16.60483663
586	16.60483622
587	16.60483597
588	16.60483574
589	16.60483552
590	16.60483521
591	16.604591	16592	16.604592	16593	16.604593	16594	16.604594	16595	16.604595	16596	1595	1596	16.55596	16.597	16.55597	16.598	16.55598	16.599	1600	599	16600	16601	600	16601	16602	601	16602	16603	602	16.57733604603	1604	16.5605604	605	16.55606	16.606	16.55607	16.607	16.55608	16.608	16.55609	16.609	16.55610	16.610	16.56611	16.611	16.56612	16.612	16.56613	16613	16.55613	16.614	16.55929447
615	16.55929419
616	16.617	16.60617	16.618	16.60618	16.619	16.60619	16.620	16.60620	16.621	16.6621	16.622	16.60622	16.623	16.6623	16.5624	16.6624	16.5625	16.6625	16.5626	16626	16.559627	16627	16.559628	16628	16.559629	16629	16.559630	16630	16.559631	16.60482384
632	16.60482352
633	16.60482316
634	16.60482301
635	16.60482281
636	16.60482264
637	16.60482254
638	16.60482232
639	16.60482221
640	16.604822
641	16.60482189
642	16.60482176
643	16.60482162
644	16.60482139
645	16.60482123
646	16.60482102
647	16.60482094
648	16.60482071
649	16.60482005
650	16.6048199
651	16.60481989
652	16.6048195
653	16.60481929
654	16.60481924
655	16.655	16.55656	16.656	16.55657	16.657	16.55658	16.658	16.55659	16.659	16.55660	16.6048179
661	16.60481768
662	16.6662	16.663	16.60481734
664	16.60481728
665	16.60481724
666	16.60481715
667	16.60667	16.668	16.60668	16.669	16.60669	16.670	16.60481615
671	16.60671	16.672	16.60481606
673	16.6048159
674	16.60481576
675	16.60481557
676	16.60481537
677	16.6048153
678	16.60481521
679	16.60481517
680	16.604815
681	16.60481489
682	16.60481483
683	16.6048147
684	16.60481464
685	16.60481455
686	16.60481451
687	16.60481438
688	16.60481431
689	16.60481411
690	16.60481395
691	16.60481391
692	16.60481381
693	16.60481374
694	16.6048137
695	16.60481339
696	16.60481696	16.55927938
697	16.55927928
698	16.55927927
699	16.55927916
700	16.55927901
701	16.55927887
702	16.55927881
7704	16.604811787705	16.604811747706	16.604811677707	16.6048111
708	16.60481101
709	16.60481097
710	16.60481069
711	16.60481065
712	16.60481058
713	16.60481048
714	16.60481048
715	16.60481029
716	16.60481013
717	16.60480991
718	16.60480987719	16.60480976719	16.55927744
720	16.55927743
721	16.55927733
722	16.55927725
723	16.55927722
724	16.55927717
725	16.55927714
726	16.55927706
727	16.55927701
728	16.55927698
729	16.55927693
730	16.5592769
731	16.5592768
732	16.55927671
733	16.55927668
734	16.55927663
735	16.55927654
736	16.55927649
737	16.55927642
738	16.5592764
739	16.55927636
740	16.55927633
741	16.55927628
742	16.55927627
743	16.55927623
744	16.55927621
7746	16.604807297747	16.6048072747	16.55927606
748	16.55927601
749	16.55927596
750	16.55927584
751	16.55927575
752	16.55927572
753	16.55927567
754	16.5592756
755	16.55927557
756	16.55927553
757	16.55927547
758	16.55927533
759	16.55927531
760	16.55927515
761	16.559275117762	16.559275057763	16.5592749
764	16.55927482
765	16.5592748
766	16.55927475
767	16.55927466
768	16.55927453
769	16.55927442
770	16.55927438
771	16.55927437
772	16.55927433
774	16.60480525
775	16.60480516
776	16.60480512776	16.55927402
777	16.55927401
778	16.55927392
779	16.55927373
780	16.5592736
781	16.55927358
782	16.55927354
783	16.55927351
784	16.55927319
785	16.55927314
786	16.55927309
787	16.55927308
788	16.55927301
789	16.559273
790	16.55927296
791	16.55927294
792	16.55927291
793	16.55927289
794	16.55927288
795	16.55927285
796	16.55927278
797	16.55927274
798	16.55927273
799	16.55927271
800	16.55927264
801	16.55927261
802	16.55927257
803	16.55927255
804	16.55927254
805	16.55927251
806	16.5592725
807	16.55927246
808	16.55927246
809	16.55927245
810	16.55927243
811	16.55927242
812	16.55927239
813	16.55927234
814	16.55927231
815	16.55927229
816	16.55927219
817	16.55927219
818	16.55927217
819	16.55927215
820	16.55927214
821	16.55927213
822	16.55927212
823	16.5592721
824	16.55927209
825	16.55927205
826	16.55927203
827	16.55927196
828	16.55927189
829	16.55927187
830	16.55927176
831	16.55927173
832	16.55927172
833	16.5592717
834	16.5592717
835	16.55927167
836	16.55927164
837	16.55927162
838	16.55927161
839	16.5592716
840	16.55927158
841	16.55927156
842	16.55927155
843	16.55927146
844	16.55927144
845	16.55927141
846	16.55927139
847	16.55927138
848	16.55927138
849	16.55927135
850	16.55927134
851	16.55927131
852	16.5592713
853	16.5592713
854	16.55927128
855	16.55927126
856	16.55927114
857	16.55927113
858	16.55927112
859	16.55927111
860	16.5592711
861	16.55927109
862	16.55927104
863	16.55927103
864	16.55927101
865	16.55927092
866	16.55927092
867	16.55927084
868	16.55927062
869	16.55927058
870	16.55927057
871	16.55927056
872	16.55927043
873	16.55927041
874	16.5592704
875	16.55927038
876	16.55927036
877	16.55927033
878	16.55927031
879	16.55927029
880	16.55927029
881	16.55927027
882	16.55927027
883	16.55927026
884	16.55927008
885	16.55927007
886	16.55927005
887	16.55927003
888	16.55927001
889	16.55927
890	16.55926999
891	16.55926995
892	16.55926993
893	16.5592699
894	16.55926978
895	16.55926978
896	16.55926974
897	16.55926973
898	16.55926973
899	16.55926972
900	16.55926971
901	16.55926971
902	16.55926969
903	16.55926968
904	16.55926964
905	16.55926962
906	16.55926961
907	16.5592696
908	16.55926954
909	16.55926954
910	16.55926953
911	16.55926953
912	16.55926952
913	16.55926951
914	16.55926944
915	16.55926943
916	16.55926942
917	16.55926942
918	16.55926942
919	16.55926941
920	16.5592694
921	16.55926938
922	16.55926935
923	16.55926931
924	16.5592693
925	16.55926929
926	16.55926929
927	16.55926927
928	16.55926925
929	16.55926924
930	16.55926923
931	16.55926911
932	16.55926905
933	16.55926904
934	16.55926904
935	16.55926903
936	16.55926902
937	16.55926899
938	16.55926895
939	16.55926889
940	16.55926889
941	16.55926883
942	16.55926883
943	16.55926882
944	16.55926881
945	16.55926881
946	16.5592688
947	16.55926878
948	16.55926877
949	16.55926877
950	16.55926862
951	16.55926853
952	16.55926853
953	16.5592685
954	16.55926848
955	16.55926848
956	16.55926838
957	16.55926819
958	16.55926819
959	16.55926818
960	16.55926808
961	16.55926799
962	16.55926798
963	16.55926797
964	16.55926797
965	16.55926794
966	16.55926773
967	16.55926772
968	16.55926772
969	16.55926771
970	16.55926764
971	16.55926762
972	16.55926762
973	16.55926761
974	16.55926761
975	16.55926761
976	16.5592676
977	16.5592676
978	16.55926759
979	16.55926759
980	16.55926758
981	16.55926758
982	16.55926756
983	16.55926756
984	16.55926756
985	16.55926755
986	16.55926754
987	16.55926754
988	16.55926753
989	16.5592675
990	16.55926748
991	16.55926748
992	16.55926747
993	16.55926747
994	16.55926746
995	16.55926744
996	16.55926743
997	16.55926743
998	16.5592674
999	16.55926739
43731215
999	16.43731215
