iter	Passed	Remaining
935	37599	2570
936	37644	2531
937	37690	2491
938	37741	2451
939	37781	2411
940	37822	2371
941	37865	2331
942	37903	2291
943	37944	2250
944	37986	2210
945	38029	2170
946	38070	2130
947	38105	2090
948	38150	2050
949	38193	2010
950	38236	1970
951	38293	1930
952	38339	1890
953	38380	1850
954	38420	1810
955	38460	1770
956	38510	1730
957	38547	1689
958	38590	1649
959	38630	1609
960	38678	1569
961	38730	1529
962	38776	1489
963	38818	1449
964	38858	1409
965	38888	1368
966	38936	1328
967	38971	1288
968	38999	1247
969	39033	1207
970	39086	1167
971	39137	1127
972	39178	1087
973	39219	1046
974	39246	1006
975	39281	965
976	39329	925
977	39366	885
978	39394	845
979	39421	804
980	39464	764
981	39506	724
982	39541	683
983	39571	643
984	39595	602
985	39611	562
986	39642	522
987	39656	481
988	39677	441
989	39697	400
990	39703	360
991	39735	320
992	39748	280
993	39755	239
994	39763	199
995	39772	159
996	39781	119
997	39788	79
998	39790	39
999	39792	0
